id,category,subcategory,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,experience_level,tags,keywords,source,created_date
1,Data Structures & Algorithms,Arrays,"In a dynamic array (like ArrayList in Java), what happens when the array is full and a new element is added?",The operation fails,A new larger array is created and elements are copied,Elements are compressed,The oldest element is removed,B,Dynamic arrays resize by creating a new array (typically 1.5x or 2x the size) and copying all elements.,3,Mid,"dynamic_arrays,resizing,amortized_analysis","dynamic array,resize,ArrayList,amortized",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
2,Data Structures & Algorithms,Arrays,Which algorithm would be most efficient for finding all pairs in an array that sum to a target value?,Brute force O(n^2),Two-pointer technique O(n),Binary search O(n log n),Hash table O(n),D,"Using a hash table, we can check for complement values in O(1) time, making the overall complexity O(n).",4,Senior,"algorithms,two_sum,hash_table,optimization","two sum,hash table,complement,optimization",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
3,Data Structures & Algorithms,Linked Lists,What is the primary advantage of a linked list over an array?,Faster access to elements,Dynamic size allocation,Better cache locality,Lower memory usage,B,"Linked lists can grow or shrink during runtime, unlike arrays which have fixed size in many languages.",2,Entry,"linked_list,dynamic_allocation,comparison","linked list,dynamic,flexible size,runtime",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
4,Data Structures & Algorithms,Linked Lists,How would you detect a cycle in a linked list efficiently?,Use extra space to track visited nodes,Floyd's Cycle Detection (Tortoise and Hare),Sort the nodes first,Use recursion,B,Floyd's algorithm uses two pointers moving at different speeds to detect cycles in O(n) time and O(1) space.,4,Senior,"cycle_detection,floyd_algorithm,two_pointers","cycle detection,Floyd,tortoise hare,two pointers",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
5,Data Structures & Algorithms,Trees,Which tree traversal would you use to evaluate a mathematical expression tree?,Preorder,Inorder,Postorder,Level order,C,"Postorder traversal evaluates children before the parent, which is necessary for expression evaluation.",4,Senior,"tree_traversal,expression_trees,postorder","postorder,expression tree,evaluation,traversal",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
6,Data Structures & Algorithms,Hash Tables,What is the primary method to handle collisions in a hash table?,Ignore collisions,Chaining or Open Addressing,Increase table size immediately,Use a different data structure,B,"Chaining uses linked lists at each bucket, while open addressing finds alternative slots.",3,Mid,"hash_tables,collision_handling,chaining,open_addressing","hash table,collision,chaining,open addressing",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
7,Data Structures & Algorithms,Graphs,Which algorithm would you use to find the shortest path in an unweighted graph?,Dijkstra's Algorithm,Breadth-First Search (BFS),Depth-First Search (DFS),Floyd-Warshall Algorithm,B,BFS finds the shortest path in unweighted graphs as it explores nodes level by level.,3,Mid,"graph_algorithms,shortest_path,BFS,unweighted","BFS,shortest path,unweighted graph,breadth first",Stanford CS106B Programming Methodology Course (web.stanford.edu/class/cs106b),6/14/2025
8,Object-Oriented Programming,Classes & Objects,What is the main difference between a class and an object?,Class is an instance of an object,"Object is a template, class is an instance","Class is a blueprint, object is an instance",There is no difference,C,"A class is a blueprint or template that defines the structure and behavior, while an object is a specific instance of that class.",2,Entry,"OOP,class,object,fundamentals","class,object,blueprint,instance",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
9,Object-Oriented Programming,Inheritance,Which type of inheritance is NOT directly supported in Java?,Single inheritance,Multilevel inheritance,Multiple inheritance,Hierarchical inheritance,C,"Java does not support multiple inheritance of classes to avoid the diamond problem, but supports it through interfaces.",3,Mid,"inheritance,java,multiple_inheritance,diamond_problem","multiple inheritance,Java,diamond problem,interfaces",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
10,Object-Oriented Programming,Polymorphism,What is method overriding in object-oriented programming?,Having multiple methods with the same name in a class,Redefining a method in a subclass,Using methods from different classes,Creating abstract methods,B,Method overriding allows a subclass to provide a specific implementation of a method that is already defined in its parent class.,3,Mid,"polymorphism,method_overriding,inheritance","method overriding,subclass,parent class,runtime polymorphism",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
11,Object-Oriented Programming,Design Patterns,Which design pattern ensures that a class has only one instance and provides global access to it?,Factory Pattern,Singleton Pattern,Observer Pattern,Strategy Pattern,B,The Singleton pattern restricts instantiation of a class to a single instance and provides a global point of access.,4,Senior,"design_patterns,singleton,creational_patterns","singleton,single instance,global access,design pattern",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
12,System Design,Scalability,What is the primary difference between horizontal and vertical scaling?,"Horizontal scales up, vertical scales out","Vertical scales up, horizontal scales out",Both are the same,Neither affects performance,B,"Vertical scaling (scaling up) adds more power to existing machines, while horizontal scaling (scaling out) adds more machines.",3,Mid,"scalability,horizontal_scaling,vertical_scaling,system_design","horizontal scaling,vertical scaling,scale out,scale up",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
13,System Design,Load Balancing,Which load balancing algorithm distributes requests to the server with the least active connections?,Round Robin,Least Connections,IP Hash,Weighted Round Robin,B,Least Connections algorithm routes new requests to the server with the fewest active connections.,3,Mid,"load_balancing,algorithms,least_connections","load balancing,least connections,algorithm,active connections",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
14,System Design,Caching,What is the primary purpose of a CDN (Content Delivery Network)?,To increase security,To reduce latency by serving content from geographically closer servers,To compress data,To encrypt data,B,"CDNs cache content at multiple geographic locations to serve users from the nearest server, reducing latency.",3,Mid,"CDN,caching,latency,geographic_distribution","CDN,content delivery network,latency,geographic",MIT 6.824 Distributed Systems Course (pdos.csail.mit.edu/6.824),6/14/2025
15,Database Management,SQL,Which SQL command is used to retrieve data from a database?,INSERT,UPDATE,SELECT,DELETE,C,SELECT is the SQL command used to query and retrieve data from database tables.,1,Entry,"SQL,queries,SELECT,fundamentals","SQL,SELECT,query,retrieve data",ACM Computing Curricula Guidelines (acm.org/education/curricula-recommendations),6/14/2025
