Unnamed: 0,name,statement,difficulty,topics,tests_input_output,normalized_input,expected_output,python_stub,cpp_stub,java_stub,hidden_py_header,hidden_py_footer,hidden_cpp_header,hidden_cpp_footer,hidden_java_header,hidden_java_footer
1,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.
You may assume that each input would have exactly one solution, and you may not use the same element twice.
You can return the answer in any order.
Example 1:
Input: nums = [2,7,11,15], target = 9
Output: [0,1]
Explanation: Because nums[0] + nums[1] == 9, we return [0, 1].
Example 2:
Input: nums = [3,2,4], target = 6
Output: [1,2]
Example 3:
Input: nums = [3,3], target = 6
Output: [0,1]
Constraints:
2 <= nums.length <= 10^4
-10^9 <= nums[i] <= 10^9
-10^9 <= target <= 10^9
Only one valid answer exists.
Follow-up: Can you come up with an algorithm that is less than O(n^2)
time complexity?",Easy,"Array, Hash Table","Test Case 1:
Input: nums = [2,7,11,15], target = 9
Output: [0,1]
Explanation: Because nums[0] + nums[1] == 9, we return [0, 1].

Test Case 2:
Input: nums = [3,2,4], target = 6
Output: [1,2]

Test Case 3:
Input: nums = [3,3], target = 6
Output: [0,1]","4
2 7 11 15
9

3
3 2 4
6

2
3 3
6","[0,1]
[1,2]
[0,1]","class Solution:
    def twoSum(self, nums: List[int], target: int) -> List[int]:
        ","class Solution {
public:
    vector<int> twoSum(vector<int>& nums, int target) {
        
    }
};","class Solution {
    public int[] twoSum(int[] nums, int target) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums = int(data[line_idx])
    line_idx += 1
    nums = list(map(int, data[line_idx].split()))
    line_idx += 1
    target = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.twoSum(nums, target)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums;
    if (!(cin >> n_nums)) return 0;
    vector<int> nums(n_nums);
    for (int i = 0; i < n_nums; ++i) cin >> nums[i];
    int target;
    if (!(cin >> target)) return 0;

    Solution sol;
    vector<int> ans = sol.twoSum(nums, target);
    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << ans[i] << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums = new int[n_nums];
        for (int i = 0; i < n_nums; i++) {
            nums[i] = Integer.parseInt(st.nextToken());
        }
        int target = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        int[] ans = sol.twoSum(nums, target);
        System.out.print(""["");
        for (int i = 0; i < ans.length; i++) {
            System.out.print(ans[i] + (i == ans.length - 1 ? ""]"" : "",""));
        }
        System.out.println();
    }
}"
2,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without duplicate characters.
Example 1:
Input: s = ""abcabcbb""
Output: 3
Explanation: The answer is ""abc"", with the length of 3.
Example 2:
Input: s = ""bbbbb""
Output: 1
Explanation: The answer is ""b"", with the length of 1.
Example 3:
Input: s = ""pwwkew""
Output: 3
Explanation: The answer is ""wke"", with the length of 3. Notice that the answer must be a substring, ""pwke"" is a subsequence and not a substring.
Constraints:
0 <= s.length <= 5 * 10^4
s consists of English letters, digits, symbols and spaces.",Medium,"Hash Table, String, Sliding Window","Test Case 1:
Input: s = ""abcabcbb""
Output: 3
Explanation: The answer is ""abc"", with the length of 3.

Test Case 2:
Input: s = ""bbbbb""
Output: 1
Explanation: The answer is ""b"", with the length of 1.

Test Case 3:
Input: s = ""pwwkew""
Output: 3
Explanation: The answer is ""wke"", with the length of 3.
Notice that the answer must be a substring, ""pwke"" is a subsequence and not a substring.","abcabcbb

bbbbb

pwwkew","3
1
3","class Solution:
    def lengthOfLongestSubstring(self, s: str) -> int:
        ","class Solution {
public:
    int lengthOfLongestSubstring(string s) {
        
    }
};","class Solution {
    public int lengthOfLongestSubstring(String s) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.lengthOfLongestSubstring(s)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string s;
    if (!(cin >> s)) return 0;

    Solution sol;
    auto ans = sol.lengthOfLongestSubstring(s);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();

        Solution sol = new Solution();
        var ans = sol.lengthOfLongestSubstring(s);
        System.out.print(ans);
        System.out.println();
    }
}"
3,Median of Two Sorted Arrays,"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays.
The overall run time complexity should be O(log (m+n)).
Example 1:
Input: nums1 = [1,3], nums2 = [2]
Output: 2.00000
Explanation: merged array = [1,2,3] and median is 2.
Example 2:
Input: nums1 = [1,2], nums2 = [3,4]
Output: 2.50000
Explanation: merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5.
Constraints:
nums1.length == m
nums2.length == n
0 <= m <= 1000^0 <= n <= 1000^1 <= m + n <= 2000
-10^6 <= nums1[i], nums2[i] <= 10^6",Hard,"Array, Binary Search, Divide and Conquer","Test Case 1:
Input: nums1 = [1,3], nums2 = [2]
Output: 2.00000
Explanation: merged array = [1,2,3] and median is 2.

Test Case 2:
Input: nums1 = [1,2], nums2 = [3,4]
Output: 2.50000
Explanation: merged array = [1,2,3,4] and median is (2 + 3) / 2 = 2.5.","2
1 3
1
2

2
1 2
2
3 4","2.00000
2.50000","class Solution:
    def findMedianSortedArrays(self, nums1: List[int], nums2: List[int]) -> float:
        ","class Solution {
public:
    double findMedianSortedArrays(vector<int>& nums1, vector<int>& nums2) {
        
    }
};","class Solution {
    public double findMedianSortedArrays(int[] nums1, int[] nums2) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums1 = int(data[line_idx])
    line_idx += 1
    nums1 = list(map(int, data[line_idx].split()))
    line_idx += 1
    n_nums2 = int(data[line_idx])
    line_idx += 1
    nums2 = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.findMedianSortedArrays(nums1, nums2)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums1;
    if (!(cin >> n_nums1)) return 0;
    vector<int> nums1(n_nums1);
    for (int i = 0; i < n_nums1; ++i) cin >> nums1[i];
    int n_nums2;
    if (!(cin >> n_nums2)) return 0;
    vector<int> nums2(n_nums2);
    for (int i = 0; i < n_nums2; ++i) cin >> nums2[i];

    Solution sol;
    auto ans = sol.findMedianSortedArrays(nums1, nums2);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums1 = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums1 = new int[n_nums1];
        for (int i = 0; i < n_nums1; i++) {
            nums1[i] = Integer.parseInt(st.nextToken());
        }
        int n_nums2 = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums2 = new int[n_nums2];
        for (int i = 0; i < n_nums2; i++) {
            nums2[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.findMedianSortedArrays(nums1, nums2);
        System.out.print(ans);
        System.out.println();
    }
}"
4,Longest Palindromic Substring,"Given a string s, return the longest palindromic substring in s.
Example 1:
Input: s = ""babad""
Output: ""bab""
Explanation: ""aba"" is also a valid answer.
Example 2:
Input: s = ""cbbd""
Output: ""bb""
Constraints:
1 <= s.length <= 1000
s consist of only digits and English letters.",Medium,"Two Pointers, String, Dynamic Programming","Test Case 1:
Input: s = ""babad""
Output: ""bab""
Explanation: ""aba"" is also a valid answer.

Test Case 2:
Input: s = ""cbbd""
Output: ""bb""","babad

cbbd","bab
bb","class Solution:
    def longestPalindrome(self, s: str) -> str:
        ","class Solution {
public:
    string longestPalindrome(string s) {
        
    }
};","class Solution {
    public String longestPalindrome(String s) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.longestPalindrome(s)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string s;
    if (!(cin >> s)) return 0;

    Solution sol;
    string ans = sol.longestPalindrome(s);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();

        Solution sol = new Solution();
        String ans = sol.longestPalindrome(s);
        System.out.print(ans);
        System.out.println();
    }
}"
5,Reverse Integer,"Given a signed 32-bit integer x, return x with its digits reversed. If reversing x causes the value to go outside the signed 32-bit integer range [-2^31, 2^31 - 1], then return 0.
Assume the environment does not allow you to store 64-bit integers (signed or unsigned).
Example 1:
Input: x = 123
Output: 321
Example 2:
Input: x = -123
Output: -321
Example 3:
Input: x = 120
Output: 21
Constraints:
-2^31 <= x <= 2^31 - 1",Medium,Math,"Test Case 1:
Input: x = 123
Output: 321

Test Case 2:
Input: x = -123
Output: -321

Test Case 3:
Input: x = 120
Output: 21","123

-123

120","321
-321
21","class Solution:
    def reverse(self, x: int) -> int:
        ","class Solution {
public:
    int reverse(int x) {
        
    }
};","class Solution {
    public int reverse(int x) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    x = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.reverse(x)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int x;
    if (!(cin >> x)) return 0;

    Solution sol;
    auto ans = sol.reverse(x);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int x = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        var ans = sol.reverse(x);
        System.out.print(ans);
        System.out.println();
    }
}"
6,Palindrome Number,"Given an integer x, return true if x is a palindrome, and false otherwise.
Example 1:
Input: x = 121
Output: true
Explanation: 121 reads as 121 from left to right and from right to left.
Example 2:
Input: x = -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.
Example 3:
Input: x = 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.
Constraints:
-2^31 <= x <= 2^31 - 1
Follow up: Could you solve it without converting the integer to a string?",Easy,Math,"Test Case 1:
Input: x = 121
Output: true
Explanation: 121 reads as 121 from left to right and from right to left.

Test Case 2:
Input: x = -121
Output: false
Explanation: From left to right, it reads -121. From right to left, it becomes 121-. Therefore it is not a palindrome.

Test Case 3:
Input: x = 10
Output: false
Explanation: Reads 01 from right to left. Therefore it is not a palindrome.","121

-121

10","true
false
false","class Solution:
    def isPalindrome(self, x: int) -> bool:
        ","class Solution {
public:
    bool isPalindrome(int x) {
        
    }
};","class Solution {
    public boolean isPalindrome(int x) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    x = int(data[line_idx])
    line_idx += 1

    sol = Solution()
    ans = sol.isPalindrome(x)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int x;
    if (!(cin >> x)) return 0;

    Solution sol;
    bool ans = sol.isPalindrome(x);
    cout << (ans ? ""true"" : ""false"");
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int x = Integer.parseInt(br.readLine());

        Solution sol = new Solution();
        boolean ans = sol.isPalindrome(x);
        System.out.print(ans ? ""true"" : ""false"");
        System.out.println();
    }
}"
7,Regular Expression Matching,"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where:
'.' Matches any single character.
'*' Matches zero or more of the preceding element.
The matching should cover the entire input string (not partial).
Example 1:
Input: s = ""aa"", p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".
Example 2:
Input: s = ""aa"", p = ""a*""
Output: true
Explanation: '*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".
Example 3:
Input: s = ""ab"", p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".
Constraints:
1 <= s.length <= 20
1 <= p.length <= 20
s contains only lowercase English letters.
p contains only lowercase English letters, '.', and '*'.
It is guaranteed for each appearance of the character '*', there will be a previous valid character to match.",Hard,"String, Dynamic Programming, Recursion","Test Case 1:
Input: s = ""aa"", p = ""a""
Output: false
Explanation: ""a"" does not match the entire string ""aa"".

Test Case 2:
Input: s = ""aa"", p = ""a*""
Output: true
Explanation: '*' means zero or more of the preceding element, 'a'. Therefore, by repeating 'a' once, it becomes ""aa"".

Test Case 3:
Input: s = ""ab"", p = "".*""
Output: true
Explanation: "".*"" means ""zero or more (*) of any character (.)"".","aa
a

aa
a*

ab
.*","false
true
true","class Solution:
    def isMatch(self, s: str, p: str) -> bool:
        ","class Solution {
public:
    bool isMatch(string s, string p) {
        
    }
};","class Solution {
    public boolean isMatch(String s, String p) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    s = data[line_idx]
    line_idx += 1
    p = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.isMatch(s, p)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string s;
    if (!(cin >> s)) return 0;
    string p;
    if (!(cin >> p)) return 0;

    Solution sol;
    bool ans = sol.isMatch(s, p);
    cout << (ans ? ""true"" : ""false"");
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String s = br.readLine();
        String p = br.readLine();

        Solution sol = new Solution();
        boolean ans = sol.isMatch(s, p);
        System.out.print(ans ? ""true"" : ""false"");
        System.out.println();
    }
}"
8,Container With Most Water,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the i th line are (i, 0) and (i, height[i]).
Find two lines that together with the x-axis form a container, such that the container contains the most water.
Return the maximum amount of water a container can store.
Notice that you may not slant the container.
Example 1:
Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49
Explanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.
Example 2:
Input: height = [1,1]
Output: 1
Constraints:
n == height.length
2 <= n <= 10^5
0 <= height[i] <= 10^4",Medium,"Array, Two Pointers, Greedy","Test Case 1:
Input: height = [1,8,6,2,5,4,8,3,7]
Output: 49
Explanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.

Test Case 2:
Input: height = [1,1]
Output: 1","9
1 8 6 2 5 4 8 3 7

2
1 1","49
1","class Solution:
    def maxArea(self, height: List[int]) -> int:
        ","class Solution {
public:
    int maxArea(vector<int>& height) {
        
    }
};","class Solution {
    public int maxArea(int[] height) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_height = int(data[line_idx])
    line_idx += 1
    height = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.maxArea(height)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_height;
    if (!(cin >> n_height)) return 0;
    vector<int> height(n_height);
    for (int i = 0; i < n_height; ++i) cin >> height[i];

    Solution sol;
    auto ans = sol.maxArea(height);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_height = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] height = new int[n_height];
        for (int i = 0; i < n_height; i++) {
            height[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        var ans = sol.maxArea(height);
        System.out.print(ans);
        System.out.println();
    }
}"
9,Longest Common Prefix,"Write a function to find the longest common prefix string amongst an array of strings.
If there is no common prefix, return an empty string """".
Example 1:
Input: strs = [""flower"",""flow"",""flight""]
Output: ""fl""
Example 2:
Input: strs = [""dog"",""racecar"",""car""]
Output: """"
Explanation: There is no common prefix among the input strings.
Constraints:
1 <= strs.length <= 200 
1 <= strs[i].length <= 200
strs[i] consists of only lowercase English letters if it is non-empty.",Easy,"String, Trie","Test Case 1:
Input: strs = [""flower"",""flow"",""flight""]
Output: ""fl""

Test Case 2:
Input: strs = [""dog"",""racecar"",""car""]
Output: """"
Explanation: There is no common prefix among the input strings.","[""flower"",""flow"",""flight""]

[""dog"",""racecar"",""car""]","fl
","class Solution:
    def longestCommonPrefix(self, strs: List[str]) -> str:
        ","class Solution {
public:
    string longestCommonPrefix(vector<string>& strs) {
        
    }
};","class Solution {
    public String longestCommonPrefix(String[] strs) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    strs = data[line_idx]
    line_idx += 1

    sol = Solution()
    ans = sol.longestCommonPrefix(strs)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    string strs;
    if (!(cin >> strs)) return 0;

    Solution sol;
    string ans = sol.longestCommonPrefix(strs);
    cout << ans;
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        String strs = br.readLine();

        Solution sol = new Solution();
        String ans = sol.longestCommonPrefix(strs);
        System.out.print(ans);
        System.out.println();
    }
}"
10,3Sum,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.
Notice that the solution set must not contain duplicate triplets.
Example 1:
Input: nums = [-1,0,1,2,-1,-4]
Output: [[-1,-1,2],[-1,0,1]]
Explanation:
nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0. 
nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0. 
nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0. 
The distinct triplets are [-1,0,1] and [-1,-1,2]. 
Notice that the order of the output and the order of the triplets does not matter.
Example 2:
Input: nums = [0,1,1]
Output: []
Explanation: The only possible triplet does not sum up to 0.
Example 3:
Input: nums = [0,0,0]
Output: [[0,0,0]]
Explanation: The only possible triplet sums up to 0.
Constraints:
3 <= nums.length <= 3000
-10^5 <= nums[i] <= 10^5",Medium,"Array, Two Pointers, Sorting","Test Case 1:
Input: nums = [-1,0,1,2,-1,-4]
Output: [[-1,-1,2],[-1,0,1]]
Explanation: 
nums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.
nums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.
nums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.
The distinct triplets are [-1,0,1] and [-1,-1,2].
Notice that the order of the output and the order of the triplets does not matter.

Test Case 2:
Input: nums = [0,1,1]
Output: []
Explanation: The only possible triplet does not sum up to 0.

Test Case 3:
Input: nums = [0,0,0]
Output: [[0,0,0]]
Explanation: The only possible triplet sums up to 0.","6
-1 0 1 2 -1 -4

3
0 1 1

3
0 0 0","[[-1,-1,2],[-1,0,1]]
[]
[[0,0,0]]","class Solution:
    def threeSum(self, nums: List[int]) -> List[List[int]]:
        ","class Solution {
public:
    vector<vector<int>> threeSum(vector<int>& nums) {
        
    }
};","class Solution {
    public List<List<Integer>> threeSum(int[] nums) {
        
    }
}","import sys, json, math, itertools, collections","if __name__ == ""__main__"":
    data = sys.stdin.read().strip().splitlines()
    line_idx = 0

    n_nums = int(data[line_idx])
    line_idx += 1
    nums = list(map(int, data[line_idx].split()))
    line_idx += 1

    sol = Solution()
    ans = sol.threeSum(nums)

    if isinstance(ans, list):
        print(json.dumps(ans, separators=(',', ':')))
    elif isinstance(ans, bool):
        print('true' if ans else 'false')
    else:
        print(ans)","#include <bits/stdc++.h>
using namespace std;","int main() {
    ios::sync_with_stdio(false);
    cin.tie(nullptr);

    int n_nums;
    if (!(cin >> n_nums)) return 0;
    vector<int> nums(n_nums);
    for (int i = 0; i < n_nums; ++i) cin >> nums[i];

    Solution sol;
    vector<vector<int>> ans = sol.threeSum(nums);
    cout << '[';
    for (size_t i = 0; i < ans.size(); ++i) {
        cout << '[';
        for (size_t j = 0; j < ans[i].size(); ++j) {
            cout << ans[i][j] << (j + 1 == ans[i].size() ? ']' : ',');
        }
        cout << (i + 1 == ans.size() ? ']' : ',');
    }
    cout << '\n';
    return 0;
}","import java.io.*;
import java.util.*;","public class Main {
    public static void main(String[] args) throws Exception {
        BufferedReader br = new BufferedReader(new InputStreamReader(System.in));
        StringTokenizer st;

        int n_nums = Integer.parseInt(br.readLine());
        st = new StringTokenizer(br.readLine());
        int[] nums = new int[n_nums];
        for (int i = 0; i < n_nums; i++) {
            nums[i] = Integer.parseInt(st.nextToken());
        }

        Solution sol = new Solution();
        int[] ans = sol.threeSum(nums);
        System.out.print(""["");
        for (int i = 0; i < ans.length; i++) {
            System.out.print(ans[i] + (i == ans.length - 1 ? ""]"" : "",""));
        }
        System.out.println();
    }
}"
